label,facets,points,closed_solid,has_nonmanifold,has_nonuniform_orientation,has_invalid_points,components,volume_mm3,dx_mm,dy_mm,dz_mm
T8-10 - April4Blood_in_Fat_bri-1,14252,7136,False,False,False,False,2,,6.565,5.908,2.55
T8-10 - April4Blood_in_Fat_bri-2,14252,7132,False,False,False,False,2,,6.565,6.238,0.4
T8-10 - April4Blood_in_Fat_bri-3,14252,7132,False,False,False,False,2,,6.607,6.147,1.822
T8-10 - April4Blood_in_Fat_bri-4,14252,7132,False,False,False,False,2,,6.567,6.165,1.819
T8-10 - AprilDorsalRootsBloodParallel_L-1,4422,2213,True,False,False,False,1,9.0104,41.326,1.168,15.421
T8-10 - AprilDorsalRootsBloodParallel_L-2,4422,2213,True,False,False,False,1,8.8177,41.326,1.168,15.421
T8-10 - AprilDorsalRootsBloodParallel_L-3,4422,2213,True,False,False,False,1,8.612,40.514,1.168,17.559
T8-10 - AprilDorsalRootsBloodParallel_L-4,4422,2213,True,False,False,False,1,7.8542,40.514,0.726,17.571
T8-10 - AprilDorsalRootsBloodParallel_R-1,5520,2762,True,False,False,False,1,5.5703,34.923,1.586,10.84
T8-10 - AprilDorsalRootsBloodParallel_R-2,5520,2762,True,False,False,False,1,5.6302,34.923,1.586,10.84
T8-10 - AprilDorsalRootsBloodParallel_R-3,5520,2762,True,False,False,False,1,5.3151,34.923,1.586,10.84
T8-10 - AprilDorsalRootsBloodParallel_R-4,5520,2762,True,False,False,False,1,5.4648,34.923,1.586,10.84
T8-10 - AprilRootBranchRootL-1 AprilDorsolBranchInsideL-1,3962,1983,True,False,False,False,1,17.6562,20.529,2.32,10.237
T8-10 - AprilRootBranchRootL-1 AprilDorsolBranchMiddleL-1,7972,3986,True,False,False,False,1,20.776,20.693,2.818,10.7
T8-10 - AprilRootBranchRootL-1 AprilDorsolBranchOutsidMengingL-1,8120,4060,True,False,False,False,1,30.6302,20.857,3.316,11.163
T8-10 - AprilRootBranchRootL-3 AprilDorsolBranchInsideL-1,3962,1983,True,False,False,False,1,17.6562,19.511,1.792,12.183
T8-10 - AprilRootBranchRootL-3 AprilDorsolBranchMiddleL-1,7972,3986,True,False,False,False,1,22.4714,19.67,2.292,12.635
T8-10 - AprilRootBranchRootL-3 AprilDorsolBranchOutsidMengingL-1,8120,4060,True,False,False,False,1,31.0391,19.83,2.791,13.088
T8-10 - AprilRootBranchRootL-4 AprilDorsolBranchInsideL-1,3962,1983,True,False,False,False,1,17.3177,19.34,1.024,12.489
T8-10 - AprilRootBranchRootL-4 AprilDorsolBranchMiddleL-1,7972,3986,True,False,False,False,1,22.5469,19.498,1.524,12.941
T8-10 - AprilRootBranchRootL-4 AprilDorsolBranchOutsidMengingL-1,8120,4060,True,False,False,False,1,30.5755,19.657,2.024,13.391
T8-10 - AprilRootBranchRootL-5 AprilDorsolBranchInsideL-1,3962,1983,True,False,False,False,1,17.4062,20.527,2.362,10.236
T8-10 - AprilRootBranchRootL-5 AprilDorsolBranchMiddleL-1,7972,3986,True,False,False,False,1,20.9479,20.691,2.861,10.698
T8-10 - AprilRootBranchRootL-5 AprilDorsolBranchOutsidMengingL-1,8120,4060,True,False,False,False,1,31.026,20.855,3.359,11.162
T8-10 - AprilRootBranchRootR-1 AprilDorsolBranchInsideR-1,4486,2245,True,False,False,False,1,20.8802,22.681,2.724,14.976
T8-10 - AprilRootBranchRootR-1 AprilDorsolBranchMiddleR-1,9000,4500,True,False,False,False,1,26.2292,23.1,3.217,15.247
T8-10 - AprilRootBranchRootR-1 AprilDorsolBranchOutsidMengingR-1,8960,4480,True,False,False,False,1,36.2396,23.52,3.71,15.518
T8-10 - AprilRootBranchRootR-2 AprilDorsolBranchInsideR-1,4486,2245,True,False,False,False,1,20.8229,22.858,1.901,14.767
